pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-08-14,96.7,3.24,5.53,"Hader, Josh",666139,623352,,foul,,,,,4,Josh Lowe strikes out on a foul tip.,R,L,L,TB,HOU,S,,,0,2,2024,0.94,1.58,-0.67,2.5,,,,1,9,Bot,,,,,673237,,,-12.6293980787691,-140.0963211065026,-6.061386317454391,15.46616153852034,35.488092798136854,-10.178252531314277,3.67,1.74,220,75.1,49,96.7,2437,6.8,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,53.71,,,,,,,,62,3,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,148,0.0,0.0,67.90259,7.15279
SL,2024-08-14,86.6,3.44,5.43,"Hader, Josh",666139,623352,,foul,,,,,4,Josh Lowe strikes out on a foul tip.,R,L,L,TB,HOU,S,,,0,1,2024,0.05,0.23,-0.56,2.43,,,,1,9,Bot,,,,,673237,,,-9.6661821006666,-125.73629180576164,-1.296838045274468,2.7209802918762165,29.211991376298872,-29.75187083484027,3.67,1.74,146,65.9,62,86.5,2429,6.7,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,53.83,,,,,,,,62,2,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,359,0.0,-0.036,73.67023,7.38933
SI,2024-08-14,95.8,3.14,5.64,"Hader, Josh",666139,623352,,foul,,,,,2,Josh Lowe strikes out on a foul tip.,R,L,L,TB,HOU,S,,,0,0,2024,0.48,1.67,0.01,3.62,,,,1,9,Bot,,,,,673237,,,-9.415440589030345,-139.0732564489651,-3.4583236932733863,8.506061551541942,33.909481921892215,-9.959892662619966,3.67,1.74,,,,95.8,2263,6.6,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,53.87,,,,,,,,62,1,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,148,0.0,-0.024,69.65323,7.74444
SI,2024-08-14,97.0,3.03,5.69,"Hader, Josh",666624,623352,strikeout,swinging_strike,,,,,5,Christopher Morel strikes out swinging.,R,R,L,TB,HOU,S,2,,0,2,2024,0.5,1.92,0.15,2.46,,,,0,9,Bot,,,,,673237,,,-8.830781069459137,-140.77273878211005,-7.423864494358561,8.807333499914632,36.01436361770206,-5.16262515130068,3.61,1.66,,,,96.5,2368,6.4,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,54.06,,0.0,0.0,1,0,0,,61,3,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,152,-0.057,-0.149,76.76697,7.76289
SI,2024-08-14,95.0,3.06,5.7,"Hader, Josh",666624,623352,,swinging_strike,,,,,13,Christopher Morel strikes out swinging.,R,R,L,TB,HOU,S,,,0,1,2024,0.55,1.66,-1.35,2.39,,,,0,9,Bot,,,,,673237,,,-12.819829205692796,-137.52236262237196,-6.642196503386591,10.00985520590529,33.03803339935072,-9.777209578202498,3.61,1.66,,,,94.9,2333,6.7,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,53.77,,,,,,,,61,2,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,148,0.0,-0.047,34.57544,5.74588
SI,2024-08-14,93.9,2.95,5.73,"Hader, Josh",666624,623352,,swinging_strike,,,,,7,Christopher Morel strikes out swinging.,R,R,L,TB,HOU,S,,,0,0,2024,0.54,1.71,-0.49,2.12,,,,0,9,Bot,,,,,673237,,,-10.126621224318423,-136.13930268499402,-7.3601457441965294,9.138654668573489,32.486127765769595,-9.370691297452655,3.61,1.66,,,,93.8,2451,6.6,745053,623352,673237,701305,514888,608324,665161,676801,676694,643289,53.87,,,,,,,,61,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,150,0.0,-0.032,76.50746,8.46911
FF,2024-08-14,97.9,-0.09,6.99,"Fairbanks, Pete",673237,664126,field_out,hit_into_play,,,,,3,Yainer Diaz flies out to right fielder Jonny DeLuca.,R,R,R,TB,HOU,X,9,fly_ball,1,0,2024,-0.12,1.64,0.45,3.05,,,,2,9,Top,168.77,70.92,,,666163,,,1.724400486401011,-142.27486900184144,-8.868689406007025,-2.037641114190569,36.17664815581899,-8.100599538128387,3.22,1.47,334,98.9,42,97.4,2349,6.3,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.17,0.066,0.133,0.0,1,0,0,3,60,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,196,0.032,-0.117,78.3994,7.48215
SL,2024-08-14,86.1,0.17,7.17,"Fairbanks, Pete",673237,664126,,ball,,,,,14,Yainer Diaz flies out to right fielder Jonny DeLuca.,R,R,R,TB,HOU,B,,,0,0,2024,0.55,-0.55,1.86,1.63,,,,2,9,Top,,,,,666163,,,2.8873841579656183,-125.21380028049214,-5.710905821166046,5.078161048821497,28.024469239056238,-36.89145351684983,3.09,1.39,,,,85.5,2570,6.2,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.32,,,,,,,,60,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,52,0.0,0.016,,
FF,2024-08-14,97.3,-0.14,6.97,"Fairbanks, Pete",670541,664126,field_out,hit_into_play,,,,,4,Yordan Alvarez flies out to left fielder Josh Lowe.,R,L,R,TB,HOU,X,7,fly_ball,2,2,2024,-0.15,1.6,-0.72,2.53,,,,1,9,Top,73.03,111.71,,,666163,,,-1.2188297087064608,-141.34356578825057,-9.968276946970557,-1.706195055985555,36.05110218808437,-8.659318398316742,3.54,1.6,254,83.6,43,96.8,2304,6.4,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.12,0.017,0.021,0.0,1,0,0,3,59,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,199,0.044,-0.143,76.31307,8.07728
CH,2024-08-14,92.3,-0.59,6.85,"Fairbanks, Pete",670541,664126,,called_strike,,,,,4,Yordan Alvarez flies out to left fielder Josh Lowe.,R,L,R,TB,HOU,S,,,2,1,2024,-1.55,0.37,-0.31,2.36,,,,1,9,Top,,,,,666163,,,4.076287101167546,-134.0798785364326,-6.235493009209062,-19.39256674355321,36.299832821990336,-26.347680726231864,3.37,1.45,,,,91.1,2033,6.3,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.24,,,,,,,,59,4,Changeup,1,1,1,1,1,1,1,1,Infield shade,Standard,222,0.0,-0.05,,
FF,2024-08-14,97.4,-0.27,6.94,"Fairbanks, Pete",670541,664126,,foul,,,,,6,Yordan Alvarez flies out to left fielder Josh Lowe.,R,L,R,TB,HOU,S,,,2,0,2024,-0.52,1.62,0.53,2.28,,,,1,9,Top,,,,,666163,,,3.3240181191116456,-141.3490131695567,-10.608426662491356,-7.695370298320104,36.60245799601153,-8.209483969309236,3.54,1.6,339,104.8,23,96.8,2307,6.4,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.07,,,,,,,,59,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,201,0.0,-0.039,78.77451,8.0377
CH,2024-08-14,93.7,-0.63,6.85,"Fairbanks, Pete",670541,664126,,ball,,,,,14,Yordan Alvarez flies out to left fielder Josh Lowe.,R,L,R,TB,HOU,B,,,1,0,2024,-1.25,0.33,0.23,0.78,,,,1,9,Top,,,,,666163,,,4.968329817653144,-135.94595127063397,-10.576910699350329,-16.623193044108113,31.727707070014155,-25.882089887563914,3.45,1.51,,,,93.2,1843,6.3,745053,664126,666163,664040,676609,691406,670764,666139,642350,676356,54.23,,,,,,,,59,2,Changeup,1,1,1,1,1,1,1,1,Infield shade,Standard,219,0.0,0.044,,
